EmployeeKey,EmployeeID,EmployeeName,Role,StoreKey,HireDate,EmploymentStatus
282,EMP10281,Employee 0282,Sales Executive,50,2024-06-14,Active
283,EMP10282,Employee 0283,Sales Executive,28,2019-11-26,Active
284,EMP10283,Employee 0284,Senior Sales Executive,92,2024-05-24,Active
285,EMP10284,Employee 0285,Store Manager,101,2018-11-03,Active
286,EMP10285,Employee 0286,Store Manager,41,2023-06-13,Active
287,EMP10286,Employee 0287,Sales Executive,100,2019-10-24,Active
288,EMP10287,Employee 0288,Store Manager,64,2019-07-03,Active
289,EMP10288,Employee 0289,Sales Executive,27,2018-11-08,Active
290,EMP10289,Employee 0290,Sales Executive,118,2020-12-18,Active
291,EMP10290,Employee 0291,Sales Executive,63,2022-10-04,Active
292,EMP10291,Employee 0292,Senior Sales Executive,17,2020-01-25,Active
293,EMP10292,Employee 0293,Senior Sales Executive,73,2018-02-04,Active
294,EMP10293,Employee 0294,Sales Executive,33,2019-03-21,Active
295,EMP10294,Employee 0295,Sales Executive,117,2023-11-11,Active
296,EMP10295,Employee 0296,Sales Executive,84,2023-06-06,Active
297,EMP10296,Employee 0297,Sales Executive,77,2021-05-15,Active
298,EMP10297,Employee 0298,Sales Executive,92,2018-12-19,Active
299,EMP10298,Employee 0299,Sales Executive,112,2020-06-21,Active
300,EMP10299,Employee 0300,Sales Executive,29,2021-09-17,Active
301,EMP10300,Employee 0301,Sales Executive,13,2022-10-15,Active
302,EMP10301,Employee 0302,Sales Executive,46,2018-06-08,Active
303,EMP10302,Employee 0303,Sales Executive,35,2023-06-01,Active
304,EMP10303,Employee 0304,Department Lead,6,2020-08-14,Active
305,EMP10304,Employee 0305,Senior Sales Executive,82,2023-09-03,Active
306,EMP10305,Employee 0306,Sales Executive,115,2019-02-08,Active
307,EMP10306,Employee 0307,Senior Sales Executive,69,2019-05-31,Active
308,EMP10307,Employee 0308,Sales Executive,47,2021-10-19,Active
309,EMP10308,Employee 0309,Senior Sales Executive,25,2020-08-13,Active
310,EMP10309,Employee 0310,Senior Sales Executive,66,2024-01-09,Active
311,EMP10310,Employee 0311,Sales Executive,10,2022-09-09,Active
312,EMP10311,Employee 0312,Store Manager,56,2019-08-31,Active
313,EMP10312,Employee 0313,Sales Executive,30,2024-10-03,Active
314,EMP10313,Employee 0314,Sales Executive,114,2021-06-27,Active
315,EMP10314,Employee 0315,Sales Executive,109,2022-03-16,Active
316,EMP10315,Employee 0316,Sales Executive,5,2024-07-10,Active
317,EMP10316,Employee 0317,Sales Executive,119,2021-12-12,Active
318,EMP10317,Employee 0318,Senior Sales Executive,120,2022-12-03,Active
319,EMP10318,Employee 0319,Department Lead,33,2018-10-22,Active
320,EMP10319,Employee 0320,Sales Executive,118,2020-01-25,Active
321,EMP10320,Employee 0321,Sales Executive,65,2021-10-26,Active
322,EMP10321,Employee 0322,Sales Executive,18,2018-07-05,Active
323,EMP10322,Employee 0323,Store Manager,96,2021-06-23,Active
324,EMP10323,Employee 0324,Department Lead,111,2019-09-29,Active
325,EMP10324,Employee 0325,Sales Executive,49,2021-07-15,Active
326,EMP10325,Employee 0326,Sales Executive,11,2019-06-14,Active
327,EMP10326,Employee 0327,Sales Executive,85,2023-08-31,Active
328,EMP10327,Employee 0328,Sales Executive,26,2020-03-04,Active
329,EMP10328,Employee 0329,Sales Executive,63,2023-11-18,Active
330,EMP10329,Employee 0330,Senior Sales Executive,89,2019-04-23,Active
331,EMP10330,Employee 0331,Sales Executive,86,2022-06-11,Active
332,EMP10331,Employee 0332,Store Manager,59,2020-07-28,Active
333,EMP10332,Employee 0333,Sales Executive,27,2019-06-10,Active
334,EMP10333,Employee 0334,Department Lead,49,2024-07-09,Active
335,EMP10334,Employee 0335,Senior Sales Executive,77,2018-01-02,Active
336,EMP10335,Employee 0336,Sales Executive,33,2019-01-10,Active
337,EMP10336,Employee 0337,Sales Executive,98,2024-05-29,Active
338,EMP10337,Employee 0338,Sales Executive,105,2019-07-07,Active
339,EMP10338,Employee 0339,Sales Executive,99,2024-06-23,Active
340,EMP10339,Employee 0340,Department Lead,1,2022-03-06,Active
341,EMP10340,Employee 0341,Sales Executive,21,2023-01-26,Active
342,EMP10341,Employee 0342,Sales Executive,112,2019-01-16,Active
343,EMP10342,Employee 0343,Sales Executive,55,2022-07-05,Active
344,EMP10343,Employee 0344,Store Manager,6,2018-01-14,Active
345,EMP10344,Employee 0345,Sales Executive,92,2019-05-19,Active
346,EMP10345,Employee 0346,Senior Sales Executive,81,2024-03-28,Active
347,EMP10346,Employee 0347,Store Manager,69,2023-07-02,Active
348,EMP10347,Employee 0348,Sales Executive,95,2018-05-10,Active
349,EMP10348,Employee 0349,Sales Executive,5,2020-04-17,Active
350,EMP10349,Employee 0350,Sales Executive,102,2023-08-03,Active
351,EMP10350,Employee 0351,Sales Executive,3,2018-01-28,Active
352,EMP10351,Employee 0352,Sales Executive,53,2023-10-15,Active
353,EMP10352,Employee 0353,Sales Executive,23,2021-06-06,Active
354,EMP10353,Employee 0354,Sales Executive,101,2018-09-18,Active
355,EMP10354,Employee 0355,Sales Executive,53,2023-08-09,Active
356,EMP10355,Employee 0356,Sales Executive,37,2022-01-12,Active
357,EMP10356,Employee 0357,Sales Executive,74,2021-12-18,Active
358,EMP10357,Employee 0358,Department Lead,74,2019-04-05,Active
359,EMP10358,Employee 0359,Senior Sales Executive,83,2018-10-28,Active
360,EMP10359,Employee 0360,Sales Executive,17,2024-05-23,Active
361,EMP10360,Employee 0361,Store Manager,85,2019-09-22,Active
362,EMP10361,Employee 0362,Sales Executive,78,2018-09-27,Active
363,EMP10362,Employee 0363,Sales Executive,73,2023-06-17,Active
364,EMP10363,Employee 0364,Store Manager,110,2022-06-17,Active
365,EMP10364,Employee 0365,Sales Executive,1,2022-12-07,Active
366,EMP10365,Employee 0366,Sales Executive,51,2020-05-11,Active
367,EMP10366,Employee 0367,Sales Executive,45,2021-07-04,Active
368,EMP10367,Employee 0368,Senior Sales Executive,77,2023-12-21,Active
369,EMP10368,Employee 0369,Sales Executive,4,2022-12-05,Active
370,EMP10369,Employee 0370,Store Manager,62,2022-09-03,Active
371,EMP10370,Employee 0371,Senior Sales Executive,65,2024-06-18,Active
372,EMP10371,Employee 0372,Sales Executive,113,2019-07-30,Active
373,EMP10372,Employee 0373,Sales Executive,104,2023-06-27,Active
374,EMP10373,Employee 0374,Sales Executive,32,2021-07-31,Active
375,EMP10374,Employee 0375,Sales Executive,34,2023-05-11,Active
376,EMP10375,Employee 0376,Senior Sales Executive,92,2023-07-14,Active
377,EMP10376,Employee 0377,Senior Sales Executive,95,2024-01-22,Active
378,EMP10377,Employee 0378,Sales Executive,72,2024-06-10,Active
379,EMP10378,Employee 0379,Sales Executive,39,2022-07-14,Active
380,EMP10379,Employee 0380,Sales Executive,26,2022-04-29,Active
381,EMP10380,Employee 0381,Sales Executive,34,2023-01-22,Active
382,EMP10381,Employee 0382,Store Manager,54,2024-01-13,Active
383,EMP10382,Employee 0383,Department Lead,118,2021-10-22,Active
384,EMP10383,Employee 0384,Sales Executive,3,2022-10-09,Active
385,EMP10384,Employee 0385,Department Lead,50,2023-04-10,Active
386,EMP10385,Employee 0386,Sales Executive,12,2019-09-12,Active
387,EMP10386,Employee 0387,Sales Executive,65,2021-06-28,Active
388,EMP10387,Employee 0388,Sales Executive,54,2020-08-14,Active
389,EMP10388,Employee 0389,Senior Sales Executive,108,2023-04-24,Active
390,EMP10389,Employee 0390,Senior Sales Executive,5,2024-07-09,Active
391,EMP10390,Employee 0391,Senior Sales Executive,94,2020-08-26,Active
392,EMP10391,Employee 0392,Sales Executive,94,2021-08-09,Active
393,EMP10392,Employee 0393,Sales Executive,57,2020-11-09,Active
394,EMP10393,Employee 0394,Senior Sales Executive,17,2018-10-09,Active
395,EMP10394,Employee 0395,Sales Executive,112,2023-12-07,Active
396,EMP10395,Employee 0396,Sales Executive,47,2020-11-24,Active
397,EMP10396,Employee 0397,Sales Executive,23,2018-07-17,Active
398,EMP10397,Employee 0398,Department Lead,79,2024-12-07,Active
399,EMP10398,Employee 0399,Department Lead,101,2020-12-18,Active
400,EMP10399,Employee 0400,Store Manager,85,2021-03-30,Active
401,EMP10400,Employee 0401,Sales Executive,14,2020-10-05,Active
402,EMP10401,Employee 0402,Department Lead,66,2021-05-14,Active
403,EMP10402,Employee 0403,Sales Executive,75,2020-11-01,Active
404,EMP10403,Employee 0404,Sales Executive,51,2019-05-05,Active
405,EMP10404,Employee 0405,Department Lead,103,2018-10-03,Active
